Member,LIDNonWhite,LIDFemale,LIDNonWhiteMale,CDFINonWhite,CDFIFemale,CDFINonWhiteMale,MDINonWhite,MDIFemale,MDINonWhiteMale
Member1,1,1,1,1,1,1,1,1,1
Member2,1,1,1,1,1,1,1,1,1
Member3,1,1,1,1,1,1,1,1,1
Member4,1,1,1,1,1,1,1,1,1
Member5,1,1,1,1,1,1,1,1,1
Member6,1,1,1,1,1,1,1,1,1
Member7,1,1,1,1,1,1,1,1,1
Member8,1,1,1,1,1,1,1,1,1
Member9,1,1,1,1,1,1,1,1,1
Member10,1,1,1,1,1,1,1,1,1
Member11,1,1,1,1,1,1,1,1,1
Member12,1,1,1,1,1,1,1,1,1
Member13,1,1,1,1,1,1,1,1,1
Member14,1,1,1,1,1,1,1,1,1
Member15,1,1,1,1,1,1,1,1,1
Member16,1,1,1,1,1,1,1,1,1
Member17,1,1,1,1,1,1,1,1,1
Member18,1,1,1,1,1,1,1,1,1
Member19,1,1,1,1,1,1,1,1,1
Member20,1,1,1,1,1,1,1,1,1
Member21,1,1,1,1,1,1,1,1,1
Member22,1,1,1,1,1,1,1,1,1
Member23,0,1,1,1,1,1,1,1,1
Member24,0,1,1,1,1,1,1,1,1
Member25,0,1,1,1,1,1,1,1,1
Member26,0,1,1,1,1,1,1,1,1
Member27,0,1,1,1,1,1,1,1,1
Member28,0,1,1,1,1,1,1,1,1
Member29,0,1,1,1,1,1,1,1,1
Member30,0,1,1,0,1,1,1,1,1
Member31,0,1,1,0,1,1,1,1,1
Member32,0,1,1,0,1,1,1,1,1
Member33,0,1,1,0,1,1,1,1,1
Member34,0,1,1,0,1,1,1,1,1
Member35,0,1,1,0,1,1,1,1,1
Member36,0,1,1,0,1,1,1,1,1
Member37,0,1,1,0,1,1,1,1,1
Member38,0,0,1,0,0,1,1,1,1
Member39,0,0,1,0,0,1,1,1,1
Member40,0,0,1,0,0,1,1,1,1
Member41,0,0,1,0,0,1,1,1,1
Member42,0,0,1,0,0,1,1,1,1
Member43,0,0,1,0,0,1,1,1,1
Member44,0,0,1,0,0,1,1,1,1
Member45,0,0,1,0,0,1,1,1,1
Member46,0,0,1,0,0,1,1,1,1
Member47,0,0,1,0,0,1,1,1,1
Member48,0,0,1,0,0,1,1,1,1
Member49,0,0,1,0,0,1,1,0,1
Member50,0,0,0,0,0,1,1,0,1
Member51,0,0,0,0,0,1,1,0,1
Member52,0,0,0,0,0,1,1,0,1
Member53,0,0,0,0,0,1,1,0,1
Member54,0,0,0,0,0,0,1,0,1
Member55,0,0,0,0,0,0,1,0,1
Member56,0,0,0,0,0,0,1,0,1
Member57,0,0,0,0,0,0,1,0,1
Member58,0,0,0,0,0,0,1,0,1
Member59,0,0,0,0,0,0,1,0,1
Member60,0,0,0,0,0,0,1,0,1
Member61,0,0,0,0,0,0,1,0,1
Member62,0,0,0,0,0,0,1,0,1
Member63,0,0,0,0,0,0,1,0,1
Member64,0,0,0,0,0,0,1,0,1
Member65,0,0,0,0,0,0,1,0,1
Member66,0,0,0,0,0,0,1,0,1
Member67,0,0,0,0,0,0,1,0,1
Member68,0,0,0,0,0,0,0,0,1
Member69,0,0,0,0,0,0,0,0,1
Member70,0,0,0,0,0,0,0,0,1
Member71,0,0,0,0,0,0,0,0,1
Member72,0,0,0,0,0,0,0,0,1
Member73,0,0,0,0,0,0,0,0,1
Member74,0,0,0,0,0,0,0,0,1
Member75,0,0,0,0,0,0,0,0,1
Member76,0,0,0,0,0,0,0,0,1
Member77,0,0,0,0,0,0,0,0,1
Member78,0,0,0,0,0,0,0,0,1
Member79,0,0,0,0,0,0,0,0,1
Member80,0,0,0,0,0,0,0,0,1
Member81,0,0,0,0,0,0,0,0,1
Member82,0,0,0,0,0,0,0,0,0
Member83,0,0,0,0,0,0,0,0,0
Member84,0,0,0,0,0,0,0,0,0
Member85,0,0,0,0,0,0,0,0,0
Member86,0,0,0,0,0,0,0,0,0
Member87,0,0,0,0,0,0,0,0,0
Member88,0,0,0,0,0,0,0,0,0
Member89,0,0,0,0,0,0,0,0,0
Member90,0,0,0,0,0,0,0,0,0
Member91,0,0,0,0,0,0,0,0,0
Member92,0,0,0,0,0,0,0,0,0
Member93,0,0,0,0,0,0,0,0,0
Member94,0,0,0,0,0,0,0,0,0
Member95,0,0,0,0,0,0,0,0,0
Member96,0,0,0,0,0,0,0,0,0
Member97,0,0,0,0,0,0,0,0,0
Member98,0,0,0,0,0,0,0,0,0
Member99,0,0,0,0,0,0,0,0,0
Member100,0,0,0,0,0,0,0,0,0
